20190218 19:57:56.144048 2 6 23 27 0 
20190218 19:57:56.144917 2 6 23 28 0 
20190218 19:57:56.145793 2 6 29 27 0 
20190218 19:57:56.146606 2 6 29 28 0 
20190218 19:57:56.147409 2 6 10 27 0 
20190218 19:57:56.148175 2 6 10 28 0 
20190218 19:57:56.148927 2 6 12 27 0 
20190218 19:57:56.149723 2 6 12 28 0 
20190218 19:57:56.150469 2 6 18 27 0 
20190218 19:57:56.151359 2 6 18 28 0 
20190218 19:57:56.152242 2 6 31 27 0 
20190218 19:57:56.153243 2 6 31 28 0 
20190218 19:57:56.154062 1 6 31 37 0.61831099 0 0 
20190218 19:57:56.155160 1 6 18 37 0.31856999 0 0 
20190218 19:57:56.155961 1 6 10 37 0.197643 0 0 
20190218 19:57:56.156735 1 6 23 37 0.47482401 0 0 
20190218 19:57:56.158421 1 6 12 37 0.21677899 0 0 
20190218 19:57:56.159200 1 6 29 37 0.58149302 0 0 
20190218 19:57:56.159956 1 6 4 37 0.13923401 0 0 
20190218 19:57:56.160769 1 6 28 37 0.56393099 0 0 
20190218 19:57:56.161569 1 6 27 37 0.55525303 0 0 
20190218 19:57:56.162353 1 6 21 37 0.40569001 0 0 
20190218 19:57:56.163115 1 6 15 37 0.25177899 0 0 
20190218 19:57:56.164963 1 6 30 37 0.60000002 0 0 
20190218 19:57:56.166276 1 6 19 37 0.345025 0 0 
20190218 19:57:56.167696 1 6 33 37 0.64717603 0 0 
20190218 19:57:56.170283 1 6 3 37 0.104213 0 0 
20190218 19:57:56.171087 1 6 16 37 0.27303901 0 0 
20190218 19:57:56.171824 1 6 32 37 0.63743401 0 0 
20190218 19:57:56.172620 1 6 24 37 0.51367098 0 0 
20190218 19:57:56.173444 2 6 4 27 0 
20190218 19:57:56.174995 2 6 4 28 0 
20190218 19:57:56.175825 2 6 27 27 0 
20190218 19:57:56.176601 2 6 27 28 0 
20190218 19:57:56.177392 2 6 30 27 0 
20190218 19:57:56.178199 2 6 30 28 0 
20190218 19:57:56.178929 2 6 24 27 0 
20190218 19:57:56.179769 2 6 24 28 0 
20190218 19:57:56.180592 2 6 15 27 0 
20190218 19:57:56.181335 2 6 15 28 0 
20190218 19:57:56.182053 2 6 33 27 0 
20190218 19:57:56.182804 2 6 33 28 0 
20190218 19:57:56.183511 2 6 16 27 0 
20190218 19:57:56.184201 2 6 16 28 0 
20190218 19:57:56.185516 2 6 21 27 0 
20190218 19:57:56.186300 2 6 21 28 0 
20190218 19:57:56.187262 2 6 32 27 0 
20190218 19:57:56.188150 2 6 32 28 0 
20190218 19:57:56.188852 2 6 28 27 0 
20190218 19:57:56.189591 2 6 28 28 0 
20190218 19:57:56.190397 2 6 3 27 0 
20190218 19:57:56.191128 2 6 3 28 0 
20190218 19:57:56.191808 2 6 19 27 0 
20190218 19:57:56.192492 2 6 19 28 0 
20190218 19:57:56.193208 1 6 8 37 0.17504799 0 0 
20190218 19:57:56.196830 1 6 17 37 0.28559601 0 0 
20190218 19:57:56.201024 1 6 5 37 0.14447799 0 0 
20190218 19:57:56.202158 1 6 9 37 0.184854 0 0 
20190218 19:57:56.202909 1 6 7 37 0.16570599 0 0 
20190218 19:57:56.203644 1 6 6 37 0.153053 0 0 
20190218 19:57:56.204433 1 6 11 37 0.20162199 0 0 
20190218 19:57:56.205152 1 6 26 37 0.54677498 0 0 
20190218 19:57:56.205904 1 6 14 37 0.232586 0 0 
20190218 19:57:56.206711 1 6 2 37 0.0603256 0 0 
20190218 19:57:56.207586 1 6 22 37 0.43868399 0 0 
20190218 19:57:56.208406 1 6 20 37 0.37389299 0 0 
20190218 19:57:56.209247 1 6 25 37 0.52999401 0 0 
20190218 19:57:56.210009 1 6 13 37 0.223101 0 0 
20190218 19:57:56.210763 2 6 9 27 0 
20190218 19:57:56.211492 2 6 9 28 0 
20190218 19:57:56.212153 2 6 8 27 0 
20190218 19:57:56.212960 2 6 8 28 0 
20190218 19:57:56.215753 2 6 5 27 0 
20190218 19:57:56.216665 2 6 5 28 0 
20190218 19:57:56.217489 2 6 6 27 0 
20190218 19:57:56.221549 2 6 6 28 0 
20190218 19:57:56.222484 2 6 17 27 0 
20190218 19:57:56.225022 2 6 17 28 0 
20190218 19:57:56.225894 2 6 25 27 0 
20190218 19:57:56.226639 2 6 25 28 0 
20190218 19:57:56.227364 2 6 11 27 0 
20190218 19:57:56.228077 2 6 11 28 0 
20190218 19:57:56.228918 2 6 7 27 0 
20190218 19:57:56.229984 2 6 7 28 0 
20190218 19:57:56.231014 2 6 26 27 0 
20190218 19:57:56.232225 2 6 26 28 0 
20190218 19:57:56.233249 2 6 20 27 0 
20190218 19:57:56.234005 2 6 20 28 0 
20190218 19:57:56.235389 2 6 13 27 0 
20190218 19:57:56.236243 2 6 13 28 0 
20190218 19:57:56.237077 2 6 2 27 0 
20190218 19:57:56.237879 2 6 2 28 0 
20190218 19:57:56.238908 2 6 22 27 0 
20190218 19:57:56.239681 2 6 22 28 0 
20190218 19:57:56.240432 2 6 14 27 0 
20190218 19:57:56.241290 2 6 14 28 0 
20190218 19:57:56.242048 1 6 42 37 0.80000001 0 0 
20190218 19:57:56.243658 1 6 39 37 0.75111198 0 0 
20190218 19:57:56.244496 1 6 48 37 0.92101401 0 0 
20190218 19:57:56.245395 1 6 45 37 0.86458999 0 0 
20190218 19:57:56.246252 1 6 51 37 0.98392898 0 0 
20190218 19:57:56.247018 2 6 42 27 0 
20190218 19:57:56.247778 2 6 42 28 0 
20190218 19:57:56.248648 1 6 41 37 0.775922 0 0 
20190218 19:57:56.249535 1 6 44 37 0.85129899 0 0 
20190218 19:57:56.251421 1 6 50 37 0.96994197 0 0 
20190218 19:57:56.252859 1 6 52 37 0.99819702 0 0 
